0_precision;0_recall;0_f1-score;0_support;1_precision;1_recall;1_f1-score;1_support;2_precision;2_recall;2_f1-score;2_support;3_precision;3_recall;3_f1-score;3_support;accuracy;macro_avg_precision;macro_avg_recall;macro_avg_f1-score;macro_avg_support;weighted_avg_precision;weighted_avg_recall;weighted_avg_f1-score;weighted_avg_support;macro_f1;model;k;C;class_weight;n_estimators;max_depth;min_samples_leaf;learning_rate;num_features_removed;features_removed;num_classes;subsample;colsample_bytree;task
0.658008658;0.529616725;0.586872587;287;0.736397749;0.856052345;0.791729702;917;0.6;0.572307692;0.585826772;325;0.569948187;0.405904059;0.474137931;271;0.685;0.641088648;0.590970205;0.609641748;1800;0.674211766;0.685;0.67407425;1800;0.609641748;XGBoost;;;;200;7;;0.1;;;4;0.8;1;multiclass
0.64978903;0.536585366;0.58778626;287;0.732525629;0.857142857;0.789949749;917;0.61589404;0.572307692;0.593301435;325;0.569148936;0.394833948;0.466230937;271;0.685;0.641839409;0.590217466;0.609317095;1800;0.673677988;0.685;0.673472292;1800;0.609317095;XGBoost;;;;500;7;;0.05;;;4;0.8;1;multiclass
0.627615063;0.522648084;0.570342205;287;0.730055659;0.85823337;0.788972431;917;0.603333333;0.556923077;0.5792;325;0.617486339;0.41697417;0.497797357;271;0.683888889;0.644622598;0.588694675;0.609077998;1800;0.673893718;0.683888889;0.672399453;1800;0.609077998;XGBoost;;;;600;8;;0.1;;;4;1;1;multiclass
0.641025641;0.522648084;0.575815739;287;0.729205176;0.860414395;0.789394697;917;0.599326599;0.547692308;0.572347267;325;0.609625668;0.420664207;0.497816594;271;0.683888889;0.644795771;0.587854748;0.608843574;1800;0.673691781;0.683888889;0.672252896;1800;0.608843574;XGBoost;;;;500;8;;0.1;;;4;1;1;multiclass
0.649122807;0.515679443;0.574757282;287;0.733766234;0.86259542;0.792982456;917;0.613114754;0.575384615;0.593650794;325;0.576719577;0.402214022;0.473913043;271;0.686111111;0.643180843;0.588968375;0.608825894;1800;0.674841768;0.686111111;0.674159553;1800;0.608825894;XGBoost;;;;500;8;;0.05;;;4;0.8;1;multiclass
0.636752137;0.519163763;0.571976967;287;0.72972973;0.85387132;0.786934673;917;0.626666667;0.578461538;0.6016;325;0.569948187;0.405904059;0.474137931;271;0.683333333;0.64077418;0.58935017;0.608662393;1800;0.672240361;0.683333333;0.672104369;1800;0.608662393;XGBoost;;;;600;8;;0.1;;;4;0.8;1;multiclass
0.652360515;0.529616725;0.584615385;287;0.730555556;0.860414395;0.790185278;917;0.594249201;0.572307692;0.5830721;325;0.609195402;0.391143911;0.476404494;271;0.685;0.646590169;0.588370681;0.608569314;1800;0.675205476;0.685;0.672771425;1800;0.608569314;XGBoost;;;;600;7;;0.05;;;4;1;1;multiclass
0.629310345;0.508710801;0.562620424;287;0.738929889;0.873500545;0.8005997;917;0.603896104;0.572307692;0.587677725;325;0.613636364;0.398523985;0.483221477;271;0.689444444;0.646443175;0.588260756;0.608529831;1800;0.678206925;0.689444444;0.676427926;1800;0.608529831;XGBoost;;;;200;8;;0.05;;;4;0.6;1;multiclass
0.634453782;0.526132404;0.575238095;287;0.734713076;0.851690294;0.788888889;917;0.602605863;0.569230769;0.585443038;325;0.583333333;0.413284133;0.483801296;271;0.682777778;0.638776514;0.5900844;0.608342829;1800;0.672083536;0.682777778;0.672157546;1800;0.608342829;XGBoost;;;;600;7;;0.1;;;4;0.8;1;multiclass
0.632034632;0.508710801;0.563706564;287;0.728191001;0.864776445;0.790628116;917;0.613861386;0.572307692;0.592356688;325;0.615819209;0.402214022;0.486607143;271;0.685555556;0.647476557;0.58700224;0.608324628;1800;0.675298357;0.685555556;0.672875681;1800;0.608324628;XGBoost;;;;100;8;;0.1;;;4;1;1;multiclass
0.652542373;0.536585366;0.588910134;287;0.731232623;0.860414395;0.790581162;917;0.596153846;0.572307692;0.583987441;325;0.601156069;0.383763838;0.468468468;271;0.685;0.645271228;0.588267823;0.607986801;1800;0.674712928;0.685;0.672628338;1800;0.607986801;XGBoost;;;;500;7;;0.05;;;4;1;1;multiclass
0.663755459;0.529616725;0.589147287;287;0.732774674;0.85823337;0.790557509;917;0.601286174;0.575384615;0.588050314;325;0.569892473;0.391143911;0.463894967;271;0.684444444;0.641927195;0.588594655;0.607912519;1800;0.673506144;0.684444444;0.672699108;1800;0.607912519;XGBoost;;;;300;7;;0.1;;;4;0.8;0.8;multiclass
0.63559322;0.522648084;0.573613767;287;0.734995383;0.868047983;0.796;917;0.601328904;0.556923077;0.57827476;325;0.605555556;0.402214022;0.483370288;271;0.686666667;0.644368266;0.587458291;0.607814704;1800;0.67552415;0.686666667;0.674162109;1800;0.607814704;XGBoost;;;;300;8;;0.05;;;4;0.6;1;multiclass
0.674107143;0.526132404;0.590998043;287;0.719282511;0.874591058;0.789370079;917;0.606666667;0.56;0.5824;325;0.627329193;0.372693727;0.467592593;271;0.686666667;0.656846378;0.583354297;0.607590179;1800;0.67790205;0.686666667;0.671925774;1800;0.607590179;XGBoost;;;;200;6;;0.05;;;4;0.8;0.8;multiclass
0.660633484;0.508710801;0.57480315;287;0.724862888;0.864776445;0.788662357;917;0.616393443;0.578461538;0.596825397;325;0.588888889;0.391143911;0.470066519;271;0.685;0.647694676;0.585773174;0.607589356;1800;0.674565465;0.685;0.671960092;1800;0.607589356;XGBoost;;;;500;8;;0.05;;;4;0.6;0.8;multiclass
0.640692641;0.515679443;0.571428571;287;0.724745134;0.852780807;0.783567134;917;0.598006645;0.553846154;0.575079872;325;0.608465608;0.424354244;0.5;271;0.680555556;0.642977507;0.586665162;0.607518894;1800;0.670953564;0.680555556;0.669406678;1800;0.607518894;XGBoost;;;;300;8;;0.1;;;4;1;1;multiclass
